"Kennziffer";"Berufsgruppe";"Gültig"
"2133";"Berufe industrielle Glasbläserei";"J"
"21332";"Berufe industrielle Glasbläserei-fachl.ausg.Tät.";"J"
"2134";"Berufe Glasveredelung";"J"
"21342";"Berufe Glasveredelung-fachl.ausg.Tät.";"J"
"2135";"Berufe Glasapparatejustierung";"J"
"21352";"Berufe Glasapparatejustierung-fachl.ausg.Tät.";"J"
"2136";"Berufe Feinoptik";"J"
"21362";"Berufe Feinoptik-fachl.ausg.Tät.";"J"
"21363";"Berufe Feinoptik-kompl.Spez.tät.";"J"
"2139";"Aufsichtskr.-Industrielle Glasherstellung & -verarbeitung";"J"
"21393";"Aufsichtskr.-Industrielle Glasherstellung & -verarbeitung";"J"
"214";"Industrielle Keramikherstellung & -verarbeitung";"J"
"2141";"Berufe Industrieker. (Verf.-&Anlagentech.)";"J"
"21411";"Berufe Industrieker. (Verf.-&Anlagentech.)-Helf./Anlerntät.";"J"
"21412";"Berufe Industrieker. (Verf.-&Anlagentech.)-fachl.ausg.Tät.";"J"
"21413";"Berufe Industrieker. (Verf.-&Anlagentech.)-kompl.Spez.tät.";"J"
"2142";"Berufe Industriekeramik (Modelltechnik)";"J"
"21422";"Berufe Industriekeramik (Modelltechnik)-fachl.ausg.Tät.";"J"
"21423";"Berufe Industriekeramik (Modelltechnik)-kompl.Spez.tät.";"J"
"2149";"Aufsichtskr.-Industrielle Keramikherstellung & -verarbeitung";"J"
"21493";"Aufsichtskr.-Industrielle Keramikherstellung & -verarbeitung";"J"
"22";"Kunststoffherstellung & -verarbeitung, Holzbe-&-verarbeitung";"J"
"221";"Kunststoff- & Kautschukherstellung & -verarbeitung";"J"
"2210";"Berufe Kunststoff-& Kautschukher.(o.Spez.)";"J"
"22101";"Berufe Kunststoff-& Kautschukher.(o.Spez.)-Helf./Anlerntät.";"J"
"22102";"Berufe Kunststoff-& Kautschukher.(o.Spez.)-fachl.ausg.Tät.";"J"
"22103";"Berufe Kunststoff-& Kautschukher.(o.Spez.)-kompl.Spez.tät.";"J"
"22104";"Berufe Kunststoff-& Kautschukher.(o.Spez.)-hoch kompl.Tät.";"J"
"2211";"Berufe Reifen- & Vulkanisationstechnik";"J"
"22112";"Berufe Reifen- & Vulkanisationstechnik-fachl.ausg.Tät.";"J"
"2218";"Berufe Kunstst.&Kautschukh.&-ver.(s.sp.Tät.)";"J"
"22182";"Berufe Kunstst.&Kautschukh.&-ver.(s.sp.Tät.)-fachl.ausg.Tät.";"J"
"22183";"Berufe Kunstst.&Kautschukh.&-ver.(s.sp.Tät.)-kompl.Spez.tät.";"J"
"22184";"Berufe Kunstst.&Kautschukh.&-ver.(s.sp.Tät.)-hoch kompl.Tät.";"J"
"2219";"Aufsichtskr.-Kunststoff-&Kautschukherstellung &-verarbeitung";"J"
"22193";"Aufsichtskr.-Kunststoff-&Kautschukherstellung &-verarbeitung";"J"
"222";"Farb- & Lacktechnik";"J"
"2220";"Berufe Farb- & Lacktechnik (o.Spez.)";"J"
"22201";"Berufe Farb- & Lacktechnik (o.Spez.)-Helf./Anlerntät.";"J"
"22202";"Berufe Farb- & Lacktechnik (o.Spez.)-fachl.ausg.Tät.";"J"
"22203";"Berufe Farb- & Lacktechnik (o.Spez.)-kompl.Spez.tät.";"J"
"22204";"Berufe Farb- & Lacktechnik (o.Spez.)-hoch kompl.Tät.";"J"
"2221";"Berufe Fahrzeuglackierung";"J"
"22212";"Berufe Fahrzeuglackierung-fachl.ausg.Tät.";"J"
